IID,GID,rfunc,rparams,rseed,pathfunc,pparams,rfrac,rsize,numpaths,nodesinrunion,nodeavgfreqinrunion,transitinrunion,transitavgfreqinrunion,edgesinrunion,edgeavgfreqinrunion,edgemedfreqinrunion
I_2013-10-08_1,G_2013-10-08_1,rpermute,{'rfrac': 0.2},3394277857135986751,shortestpaths,{},0.2,2,1,5,2.0,3,2.0,4,2.0,2.0
I_2013-10-08_2,G_2013-10-08_1,rpermute,{'rfrac': 0.2},1459652746055571669,shortestpaths,{},0.2,2,1,4,2.0,2,2.0,3,2.0,2
I_2013-10-08_3,G_2013-10-08_1,rpermute,{'rfrac': 0.2},4697759566564213749,shortestpaths,{},0.2,2,1,6,2.0,4,2.0,5,2.0,2
I_2013-10-08_4,G_2013-10-08_1,rpermute,{'rfrac': 0.25},7085190640374651213,shortestpaths,{},0.3,3,3,4,4.5,2,3.0,3,4.0,4
I_2013-10-08_5,G_2013-10-08_1,rpermute,{'rfrac': 0.25},-6671551350272009593,shortestpaths,{},0.3,3,3,4,4.0,1,4.0,4,2.5,2.0
I_2013-10-08_6,G_2013-10-08_1,rpermute,{'rfrac': 0.25},-7239765691569071402,shortestpaths,{},0.3,3,3,6,4.0,3,4.0,6,3.0,3.0
I_2013-10-08_7,G_2013-10-08_1,rpermute,{'rfrac': 0.3},8572432704097277281,shortestpaths,{},0.3,3,3,5,3.6,2,3.0,5,2.4,2
I_2013-10-08_8,G_2013-10-08_1,rpermute,{'rfrac': 0.3},3038439969761072747,shortestpaths,{},0.3,3,3,4,4.0,1,4.0,4,2.5,2.0
I_2013-10-08_9,G_2013-10-08_1,rpermute,{'rfrac': 0.3},-6747333264328378372,shortestpaths,{},0.3,3,3,6,4.0,3,4.0,6,3.0,3.0
I_2013-10-08_10,G_2013-10-08_1,rpermute,{'rfrac': 0.35},569616598131065051,shortestpaths,{},0.4,4,6,5,7.6,3,4.66666666667,4,6.5,6.0
I_2013-10-08_11,G_2013-10-08_1,rpermute,{'rfrac': 0.35},8080821602025424083,shortestpaths,{},0.4,4,6,6,6.33333333333,3,4.66666666667,7,3.71428571429,4
I_2013-10-08_12,G_2013-10-08_1,rpermute,{'rfrac': 0.35},7865080387771957218,shortestpaths,{},0.4,4,6,5,6.0,2,3.0,6,3.0,3.0
I_2013-10-08_13,G_2013-10-08_1,rpermute,{'rfrac': 0.4},-8097223845287401883,shortestpaths,{},0.4,4,6,7,6.57142857143,4,5.5,7,4.85714285714,6
I_2013-10-08_14,G_2013-10-08_1,rpermute,{'rfrac': 0.4},2117245159049155685,shortestpaths,{},0.4,4,6,5,6.8,2,5.0,5,4.4,4
I_2013-10-08_15,G_2013-10-08_1,rpermute,{'rfrac': 0.4},-6630754139069813765,shortestpaths,{},0.4,4,6,5,6.4,2,4.0,6,3.33333333333,3.0
I_2013-10-08_16,G_2013-10-08_1,rpermute,{'rfrac': 0.45},8302821192559928920,shortestpaths,{},0.5,5,10,8,9.5,5,7.2,9,6.22222222222,6
I_2013-10-08_17,G_2013-10-08_1,rpermute,{'rfrac': 0.45},3346147524260215426,shortestpaths,{},0.5,5,10,7,9.71428571429,3,9.33333333333,7,6.85714285714,8
I_2013-10-08_18,G_2013-10-08_1,rpermute,{'rfrac': 0.45},29974733746642209,shortestpaths,{},0.5,5,10,6,10.0,3,6.66666666667,6,6.66666666667,8.0
I_2013-10-08_19,G_2013-10-08_1,rpermute,{'rfrac': 0.5},626448730878650802,shortestpaths,{},0.5,5,10,7,10.2857142857,4,8.0,7,7.42857142857,8
I_2013-10-08_20,G_2013-10-08_1,rpermute,{'rfrac': 0.5},4376962074079930023,shortestpaths,{},0.5,5,10,6,9.33333333333,2,8.0,6,6.0,6.0
I_2013-10-08_21,G_2013-10-08_1,rpermute,{'rfrac': 0.5},7845378601398173715,shortestpaths,{},0.5,5,10,7,10.8571428571,4,9.0,7,8.0,8
I_2013-10-08_22,G_2013-10-08_2,rpermute,{'rfrac': 0.2},-147900487537691325,shortestpaths,{},0.181818181818,4,6,7,4.85714285714,3,3.33333333333,8,2.75,2.0
